 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,03:06:21.547,1,1,1,1,0,0,0,0,0,0,18.367000,16.819000,7.997885
2016.12.18,03:06:22.34,2,1,1,1,0,0,0,0,0,0,18.402000,16.994000,7.057511
2016.12.18,03:06:22.548,3,1,1,1,1,0,1,0,1,0,18.346000,16.869000,8.354703
2016.12.18,03:06:23.44,4,1,1,1,1,0,1,0,1,0,18.307000,16.870000,8.113549
2016.12.18,03:06:23.545,5,1,1,1,1,0,1,0,1,0,18.368000,16.942000,7.468198
2016.12.18,03:06:24.46,6,1,1,1,1,0,1,0,1,0,18.340000,16.926000,8.525935
2016.12.18,03:06:24.545,7,1,1,1,1,0,1,0,1,0,18.327000,16.930000,7.031874
2016.12.18,03:06:25.45,8,1,1,1,1,0,1,0,1,0,18.331000,16.900000,7.651167
2016.12.18,03:06:25.546,9,1,1,1,1,0,1,0,1,0,18.321000,16.949000,8.707540
2016.12.18,03:06:26.46,10,1,1,1,1,0,1,0,1,0,18.287000,16.851000,7.027035
2016.12.18,03:06:26.546,11,1,1,1,0,1,0,1,0,1,18.377000,16.931000,7.115793
2016.12.18,03:06:27.46,12,1,1,1,0,1,0,1,0,1,18.376000,16.974000,8.955185
2016.12.18,03:06:27.544,13,1,1,1,0,1,0,1,0,1,18.263000,16.926000,7.121919
2016.12.18,03:06:28.47,14,1,1,1,0,1,0,1,0,1,18.356000,16.958000,7.782294
2016.12.18,03:06:28.547,15,1,1,1,0,1,0,1,0,1,18.356000,16.924000,8.585506
2016.12.18,03:06:29.50,16,1,1,1,0,1,0,1,0,1,18.302000,16.868000,8.953267
2016.12.18,03:06:29.549,17,1,1,1,0,1,0,1,0,1,18.378000,16.911000,8.546924
2016.12.18,03:06:30.49,18,1,1,1,0,1,0,1,0,1,18.366000,16.893000,8.397696
2016.12.18,03:06:30.548,19,0,0,0,0,0,0,0,0,0,18.464000,16.895000,8.381715
2016.12.18,03:06:31.47,20,0,0,0,0,0,0,0,0,0,18.416000,16.898000,7.917672
2016.12.18,03:06:31.547,21,0,0,0,0,0,0,0,0,0,18.443000,16.917000,7.494022
2016.12.18,03:06:32.48,22,0,0,0,0,0,0,0,0,0,18.428000,16.893000,7.231460
2016.12.18,03:06:32.549,23,0,0,0,0,0,0,0,0,0,18.448000,17.005000,7.970741
2016.12.18,03:06:33.49,24,0,0,0,0,0,0,0,0,0,18.408000,16.926000,8.725292
2016.12.18,03:06:33.549,25,0,0,0,0,0,0,0,0,0,18.475000,16.944000,8.536052
2016.12.18,03:06:34.48,26,0,0,0,0,0,0,0,0,0,18.453000,16.897000,7.879376
2016.12.18,03:06:34.549,27,0,0,0,0,0,0,0,0,0,18.448000,16.900000,8.218147
2016.12.18,03:06:35.50,28,0,0,0,0,0,0,0,0,0,18.436000,16.894000,7.262236
2016.12.18,03:06:35.549,29,0,0,0,0,0,0,0,0,0,18.361000,16.858000,8.234870
2016.12.18,03:06:36.53,30,0,0,0,0,0,0,0,0,0,18.502000,16.891000,8.667313
