 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,17:36:20.483,1,0,0,0,0,0,0,0,0,0,18.887000,18.511000,7.169661
2016.12.18,17:36:20.976,2,1,1,1,0,0,0,0,0,0,18.939000,18.495000,8.967675
2016.12.18,17:36:21.477,3,1,1,1,0,0,0,0,0,0,18.918000,18.507000,8.476068
2016.12.18,17:36:21.977,4,1,1,1,0,0,0,0,0,0,18.929000,18.517000,8.655767
2016.12.18,17:36:22.477,5,1,1,1,0,0,0,0,0,0,18.925000,18.521000,8.479478
2016.12.18,17:36:23.11,6,1,1,1,0,0,0,0,0,0,18.947000,18.535000,7.220202
2016.12.18,17:36:23.477,7,1,1,1,0,0,0,0,0,0,18.929000,18.550000,7.415651
2016.12.18,17:36:23.978,8,1,1,1,0,0,0,0,0,0,18.940000,18.564000,7.215832
2016.12.18,17:36:24.477,9,1,1,1,0,0,0,0,0,0,18.940000,18.552000,8.377126
2016.12.18,17:36:24.977,10,1,1,1,0,0,0,0,0,0,18.930000,18.568000,7.267877
2016.12.18,17:36:25.477,11,1,1,1,0,0,0,0,0,0,18.948000,18.580000,8.344118
2016.12.18,17:36:25.978,12,1,1,1,0,0,0,0,0,0,18.948000,18.588000,7.340829
2016.12.18,17:36:26.479,13,1,1,1,0,0,0,0,0,0,18.958000,18.572000,8.781855
2016.12.18,17:36:26.979,14,1,1,1,0,0,0,0,0,0,18.946000,18.610000,7.425274
2016.12.18,17:36:27.478,15,1,1,1,0,0,0,0,0,0,18.965000,18.588000,8.225090
2016.12.18,17:36:28.13,16,1,1,1,0,0,0,0,0,0,18.958000,18.621000,7.841005
2016.12.18,17:36:28.508,17,1,1,1,0,0,0,0,0,0,18.947000,18.614000,7.492612
2016.12.18,17:36:28.980,18,1,1,1,0,0,0,0,0,0,18.970000,18.592000,8.305594
2016.12.18,17:36:29.479,19,1,1,1,0,0,0,0,0,0,18.971000,18.599000,7.383967
2016.12.18,17:36:29.979,20,1,1,1,0,0,0,0,0,0,18.966000,18.604000,8.515093
2016.12.18,17:36:30.480,21,1,1,1,0,0,0,0,0,0,18.981000,18.602000,7.446102
2016.12.18,17:36:30.979,22,1,1,1,0,0,0,0,0,0,18.975000,18.608000,8.540250
2016.12.18,17:36:31.480,23,1,1,1,0,0,0,0,0,0,18.984000,18.625000,7.163744
2016.12.18,17:36:31.980,24,1,1,1,0,0,0,0,0,0,18.991000,18.634000,8.495850
2016.12.18,17:36:32.481,25,1,1,1,0,0,0,0,0,0,18.991000,18.643000,8.023931
2016.12.18,17:36:33.23,26,1,1,1,0,0,0,0,0,0,19.021000,18.641000,8.253550
2016.12.18,17:36:33.515,27,1,1,1,0,0,0,0,0,0,18.997000,18.650000,8.232133
2016.12.18,17:36:33.979,28,1,1,1,0,0,0,0,0,0,19.008000,18.655000,8.191814
2016.12.18,17:36:34.479,29,1,1,1,0,0,0,0,0,0,19.014000,18.660000,8.226759
2016.12.18,17:36:34.980,30,1,1,1,0,0,0,0,0,0,19.018000,18.652000,8.684044
2016.12.18,17:36:35.480,31,1,1,1,0,0,0,0,0,0,19.008000,18.658000,7.003494
2016.12.18,17:36:35.981,32,1,1,1,0,0,0,0,0,0,19.017000,18.645000,7.714867
2016.12.18,17:36:36.481,33,1,1,1,0,0,0,0,0,0,19.026000,18.666000,7.049050
2016.12.18,17:36:36.981,34,1,1,1,0,0,0,0,0,0,19.008000,18.660000,7.855552
2016.12.18,17:36:37.481,35,1,1,1,0,0,0,0,0,0,19.024000,18.656000,7.889145
2016.12.18,17:36:38.16,36,1,1,1,0,0,0,0,0,0,19.042000,18.639000,8.687205
2016.12.18,17:36:38.483,37,1,1,1,0,0,0,0,0,0,18.998000,18.668000,8.732479
2016.12.18,17:36:38.982,38,1,1,1,0,0,0,0,0,0,19.009000,18.668000,7.721825
2016.12.18,17:36:39.482,39,1,1,1,0,0,0,0,0,0,18.995000,18.669000,8.942391
2016.12.18,17:36:39.986,40,1,1,1,0,0,0,0,0,0,19.012000,18.562000,7.925933
2016.12.18,17:36:40.482,41,1,1,1,0,0,0,0,0,0,18.992000,18.671000,7.303808
2016.12.18,17:36:40.982,42,1,1,1,0,0,0,0,0,0,19.006000,18.661000,8.890155
2016.12.18,17:36:41.484,43,1,1,1,0,0,0,0,0,0,18.992000,18.668000,7.455605
2016.12.18,17:36:41.982,44,1,1,1,0,0,0,0,0,0,19.036000,18.662000,8.782147
2016.12.18,17:36:42.483,45,1,1,1,0,0,0,0,0,0,19.027000,18.643000,8.473859
2016.12.18,17:36:43.20,46,1,1,1,0,0,0,0,0,0,19.046000,18.644000,7.154474
2016.12.18,17:36:43.484,47,1,1,1,0,0,0,0,0,0,19.054000,18.642000,7.634542
2016.12.18,17:36:43.983,48,1,1,1,0,0,0,0,0,0,19.073000,18.646000,8.405984
2016.12.18,17:36:44.483,49,1,1,1,0,0,0,0,0,0,19.074000,18.652000,7.450147
2016.12.18,17:36:44.984,50,1,1,1,0,0,0,0,0,0,19.088000,18.663000,8.364057
2016.12.18,17:36:45.484,51,1,1,1,0,0,0,0,0,0,19.101000,18.647000,8.448918
2016.12.18,17:36:45.984,52,1,1,1,0,0,0,0,0,0,19.118000,18.659000,7.129404
2016.12.18,17:36:46.484,53,1,1,1,0,0,0,0,0,0,19.115000,18.656000,8.539275
2016.12.18,17:36:46.984,54,1,1,1,0,0,0,0,0,0,19.111000,18.669000,7.095573
2016.12.18,17:36:47.485,55,1,1,1,0,0,0,0,0,0,19.104000,18.665000,8.670796
2016.12.18,17:36:48.22,56,1,1,1,0,0,0,0,0,0,19.088000,18.668000,7.885799
2016.12.18,17:36:48.485,57,1,1,1,0,0,0,0,0,0,19.108000,18.660000,7.630256
2016.12.18,17:36:48.985,58,1,1,1,0,0,0,0,0,0,19.115000,18.657000,7.916584
2016.12.18,17:36:49.485,59,1,1,1,0,0,0,0,0,0,19.111000,18.673000,8.071801
2016.12.18,17:36:49.985,60,1,1,1,0,0,0,0,0,0,19.109000,18.681000,8.493828
2016.12.18,17:36:50.486,61,1,1,1,0,0,0,0,0,0,19.087000,18.669000,8.305792
2016.12.18,17:36:50.986,62,1,1,1,0,0,0,0,0,0,19.088000,18.671000,8.306231
2016.12.18,17:36:51.486,63,1,1,1,0,0,0,0,0,0,19.093000,18.649000,7.578294
2016.12.18,17:36:51.987,64,1,1,1,0,0,0,0,0,0,19.099000,18.665000,7.155337
2016.12.18,17:36:52.486,65,1,1,1,0,0,0,0,0,0,19.092000,18.674000,8.103221
2016.12.18,17:36:53.23,66,1,1,1,0,0,0,0,0,0,19.105000,18.664000,8.186902
2016.12.18,17:36:53.521,67,1,1,1,0,0,0,0,0,0,19.117000,18.677000,7.955732
2016.12.18,17:36:54.22,68,1,1,1,0,0,0,0,0,0,19.126000,18.678000,8.847484
2016.12.18,17:36:54.523,69,1,1,1,0,0,0,0,0,0,19.141000,18.696000,8.047535
2016.12.18,17:36:55.24,70,1,1,1,0,0,0,0,0,0,19.147000,18.688000,7.803925
2016.12.18,17:36:55.524,71,1,1,1,0,0,0,0,0,0,19.132000,18.707000,8.528169
2016.12.18,17:36:56.24,72,1,1,1,0,0,0,0,0,0,19.154000,18.688000,8.672297
2016.12.18,17:36:56.489,73,1,1,1,0,0,0,0,0,0,19.164000,18.708000,8.855751
2016.12.18,17:36:56.989,74,1,1,1,0,0,0,0,0,0,19.173000,18.703000,8.700752
2016.12.18,17:36:57.489,75,1,1,1,0,0,0,0,0,0,19.166000,18.680000,8.756604
2016.12.18,17:36:58.26,76,1,1,1,0,0,0,0,0,0,19.164000,18.694000,8.956378
2016.12.18,17:36:58.489,77,1,1,1,0,0,0,0,0,0,19.156000,18.664000,7.587152
2016.12.18,17:36:58.989,78,1,1,1,0,0,0,0,0,0,19.156000,18.665000,8.443363
2016.12.18,17:36:59.490,79,1,1,1,0,0,0,0,0,0,19.166000,18.671000,7.679590
2016.12.18,17:36:59.990,80,1,1,1,0,0,0,0,0,0,19.152000,18.677000,7.737065
2016.12.18,17:37:00.490,81,1,1,1,0,0,0,0,0,0,19.159000,18.652000,7.522210
2016.12.18,17:37:00.990,82,1,1,1,0,0,0,0,0,0,19.115000,18.651000,7.033077
2016.12.18,17:37:01.490,83,1,1,1,0,0,0,0,0,0,19.160000,18.657000,8.243222
2016.12.18,17:37:01.990,84,1,1,1,0,0,0,0,0,0,19.165000,18.656000,7.599909
2016.12.18,17:37:02.492,85,1,1,1,0,0,0,0,0,0,19.152000,18.662000,8.477360
2016.12.18,17:37:03.26,86,1,1,1,0,0,0,0,0,0,19.157000,18.699000,8.410393
2016.12.18,17:37:03.490,87,1,1,1,0,0,0,0,0,0,19.154000,18.662000,7.947616
2016.12.18,17:37:03.990,88,1,1,1,0,0,0,0,0,0,19.154000,18.683000,7.497971
2016.12.18,17:37:04.490,89,1,1,1,0,0,0,0,0,0,19.158000,18.676000,8.901271
2016.12.18,17:37:04.991,90,1,1,1,0,0,0,0,0,0,19.148000,18.675000,7.364094
2016.12.18,17:37:05.496,91,1,1,1,0,0,0,0,0,0,19.169000,18.689000,8.622796
2016.12.18,17:37:05.992,92,1,1,1,0,0,0,0,0,0,19.181000,18.679000,8.564968
2016.12.18,17:37:06.492,93,1,1,1,0,0,0,0,0,0,19.180000,18.693000,7.994478
2016.12.18,17:37:06.992,94,1,1,1,0,0,0,0,0,0,19.168000,18.711000,8.135788
2016.12.18,17:37:07.493,95,1,1,1,0,0,0,0,0,0,19.162000,18.701000,7.007736
2016.12.18,17:37:08.29,96,1,1,1,0,0,0,0,0,0,19.162000,18.679000,8.997311
2016.12.18,17:37:08.493,97,1,1,1,0,0,0,0,0,0,19.153000,18.707000,7.917778
2016.12.18,17:37:08.993,98,1,1,1,0,0,0,0,0,0,19.155000,18.691000,7.237402
2016.12.18,17:37:09.493,99,1,1,1,0,0,0,0,0,0,19.160000,18.688000,7.791517
2016.12.18,17:37:09.993,100,1,1,1,0,0,0,0,0,0,19.154000,18.678000,7.943124
2016.12.18,17:37:10.493,101,1,1,1,0,0,0,0,0,0,19.148000,18.654000,8.023882
2016.12.18,17:37:10.993,102,1,1,1,0,0,0,0,0,0,19.143000,18.644000,8.162477
2016.12.18,17:37:11.498,103,1,1,1,0,0,0,0,0,0,19.141000,18.623000,8.748015
2016.12.18,17:37:11.995,104,1,1,1,0,0,0,0,0,0,19.129000,18.598000,8.397050
2016.12.18,17:37:12.494,105,1,1,1,0,0,0,0,0,0,19.122000,18.589000,7.881104
2016.12.18,17:37:13.29,106,1,1,1,0,0,0,0,0,0,19.178000,18.566000,7.353999
2016.12.18,17:37:13.494,107,1,1,1,0,0,0,0,0,0,19.119000,18.556000,8.092264
