 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,03:05:03.259,1,0,0,0,0,0,0,0,0,0,18.205000,18.385000,7.818471
2016.12.18,03:05:03.735,2,1,1,1,0,0,0,0,0,0,18.249000,18.564000,7.783156
2016.12.18,03:05:04.272,3,1,1,1,0,0,0,0,0,0,18.193000,18.442000,7.570115
2016.12.18,03:05:04.731,4,1,1,1,1,0,1,0,1,0,18.193000,18.442000,7.867730
2016.12.18,03:05:05.231,5,1,1,1,1,0,1,0,1,0,18.237000,18.382000,7.213018
2016.12.18,03:05:05.736,6,1,1,1,1,0,1,0,1,0,18.235000,18.391000,8.630104
2016.12.18,03:05:06.231,7,1,1,1,1,0,1,0,1,0,18.223000,18.347000,8.885286
2016.12.18,03:05:06.732,8,1,1,1,1,0,1,0,1,0,18.210000,18.270000,8.498104
2016.12.18,03:05:07.235,9,1,1,1,1,0,1,0,1,0,18.242000,18.255000,8.549147
2016.12.18,03:05:07.741,10,1,1,1,1,0,1,0,1,0,18.201000,18.228000,7.681799
2016.12.18,03:05:08.237,11,1,1,1,1,0,1,0,1,0,18.268000,18.206000,8.906971
2016.12.18,03:05:08.737,12,1,1,1,0,1,0,1,0,1,18.327000,18.176000,7.169295
2016.12.18,03:05:09.237,13,1,1,1,0,1,0,1,0,1,18.271000,18.162000,7.647788
2016.12.18,03:05:09.732,14,1,1,1,0,1,0,1,0,1,18.337000,18.200000,7.535634
2016.12.18,03:05:10.235,15,1,1,1,0,1,0,1,0,1,18.322000,18.128000,7.587244
2016.12.18,03:05:10.738,16,1,1,1,0,1,0,1,0,1,18.257000,18.051000,8.109179
2016.12.18,03:05:11.239,17,1,1,1,0,1,0,1,0,1,18.255000,18.020000,7.173025
2016.12.18,03:05:11.740,18,1,1,1,0,1,0,1,0,1,18.320000,18.028000,7.542869
2016.12.18,03:05:12.232,19,1,1,1,0,1,0,1,0,1,18.018000,17.725000,8.928055
2016.12.18,03:05:12.728,20,0,0,0,0,0,0,0,0,0,18.407000,18.076000,7.947952
2016.12.18,03:05:13.231,21,0,0,0,0,0,0,0,0,0,18.422000,18.025000,8.892524
2016.12.18,03:05:13.725,22,0,0,0,0,0,0,0,0,0,18.435000,18.052000,7.377490
2016.12.18,03:05:14.229,23,0,0,0,0,0,0,0,0,0,18.432000,18.011000,7.816887
2016.12.18,03:05:14.725,24,0,0,0,0,0,0,0,0,0,18.437000,17.965000,8.964796
2016.12.18,03:05:15.230,25,0,0,0,0,0,0,0,0,0,18.442000,17.937000,8.928645
2016.12.18,03:05:15.733,26,0,0,0,0,0,0,0,0,0,18.460000,17.938000,7.430226
2016.12.18,03:05:16.226,27,0,0,0,0,0,0,0,0,0,18.448000,17.933000,7.188289
2016.12.18,03:05:16.735,28,0,0,0,0,0,0,0,0,0,18.455000,18.005000,7.976612
2016.12.18,03:05:17.234,29,0,0,0,0,0,0,0,0,0,18.452000,17.913000,7.882590
2016.12.18,03:05:17.731,30,0,0,0,0,0,0,0,0,0,18.513000,17.859000,7.943768
2016.12.18,03:05:18.230,31,0,0,0,0,0,0,0,0,0,18.476000,17.810000,8.595368
2016.12.18,03:05:18.731,32,0,0,0,0,0,0,0,0,0,18.481000,17.828000,7.704107
2016.12.18,03:05:19.233,33,0,0,0,0,0,0,0,0,0,18.480000,17.844000,7.736971
2016.12.18,03:05:19.732,34,0,0,0,0,0,0,0,0,0,18.500000,17.803000,7.248501
2016.12.18,03:05:20.232,35,0,0,0,0,0,0,0,0,0,18.501000,17.788000,7.586716
2016.12.18,03:05:20.733,36,0,0,0,0,0,0,0,0,0,18.465000,17.757000,8.882467
2016.12.18,03:05:21.234,37,0,0,0,0,0,0,0,0,0,18.491000,17.778000,7.649611
2016.12.18,03:05:21.733,38,0,0,0,0,0,0,0,0,0,18.507000,17.767000,7.993781
2016.12.18,03:05:22.233,39,0,0,0,0,0,0,0,0,0,18.510000,17.706000,7.252667
2016.12.18,03:05:22.733,40,0,0,0,0,0,0,0,0,0,18.467000,17.671000,7.953797
2016.12.18,03:05:23.233,41,0,0,0,0,0,0,0,0,0,18.501000,17.674000,8.901877
2016.12.18,03:05:23.735,42,0,0,0,0,0,0,0,0,0,18.500000,17.663000,7.188859
2016.12.18,03:05:24.235,43,0,0,0,0,0,0,0,0,0,18.488000,17.631000,8.372525
2016.12.18,03:05:24.734,44,0,0,0,0,0,0,0,0,0,18.482000,17.690000,7.577947
