 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,02:58:51.456,1,0,0,0,0,0,0,0,0,0,17.413000,16.133000,8.178983
2016.12.18,02:58:51.940,2,1,1,1,0,0,0,0,0,0,17.490000,16.262000,8.699146
2016.12.18,02:58:52.460,3,1,1,1,0,0,0,0,0,0,17.488000,16.210000,8.286051
2016.12.18,02:58:52.933,4,1,1,1,0,0,0,0,0,0,17.440000,16.253000,8.129702
2016.12.18,02:58:53.435,5,1,1,1,0,0,0,0,0,0,17.487000,16.269000,8.418937
2016.12.18,02:58:53.935,6,1,1,1,0,0,0,0,0,0,17.464000,16.243000,7.863478
2016.12.18,02:58:54.436,7,1,1,1,0,0,0,0,0,0,17.498000,16.285000,8.041661
2016.12.18,02:58:54.934,8,1,1,1,0,0,0,0,0,0,17.482000,16.236000,8.294246
2016.12.18,02:58:55.436,9,1,1,1,0,0,0,0,0,0,17.439000,16.245000,8.958024
2016.12.18,02:58:55.934,10,1,1,1,0,0,0,0,0,0,17.475000,16.233000,7.829787
2016.12.18,02:58:56.436,11,1,1,1,0,0,0,0,0,0,17.462000,16.213000,8.983788
2016.12.18,02:58:56.936,12,1,1,1,1,0,1,0,1,0,17.387000,16.135000,8.101814
2016.12.18,02:58:57.437,13,1,1,1,1,0,1,0,1,0,17.431000,16.180000,7.095040
2016.12.18,02:58:57.935,14,1,1,1,1,0,1,0,1,0,17.418000,16.138000,7.828626
2016.12.18,02:58:58.450,15,1,1,1,1,0,1,0,1,0,17.417000,16.233000,7.292924
2016.12.18,02:58:58.936,16,1,1,1,1,0,1,0,1,0,17.430000,16.218000,7.490987
2016.12.18,02:58:59.436,17,1,1,1,1,0,1,0,1,0,17.403000,16.184000,8.212520
2016.12.18,02:58:59.936,18,1,1,1,1,0,1,0,1,0,17.423000,16.132000,7.854448
2016.12.18,02:59:00.439,19,1,1,1,1,0,1,0,1,0,17.496000,16.209000,8.102864
2016.12.18,02:59:00.938,20,1,1,1,0,1,0,1,0,1,17.489000,16.244000,8.430869
2016.12.18,02:59:01.438,21,1,1,1,0,1,0,1,0,1,17.536000,16.235000,8.317620
2016.12.18,02:59:01.939,22,1,1,1,0,1,0,1,0,1,17.493000,16.188000,7.578022
2016.12.18,02:59:02.437,23,1,1,1,0,1,0,1,0,1,17.510000,16.198000,8.551379
2016.12.18,02:59:02.937,24,1,1,1,0,1,0,1,0,1,17.503000,16.210000,7.247655
2016.12.18,02:59:03.439,25,1,1,1,0,1,0,1,0,1,17.488000,16.208000,7.674831
2016.12.18,02:59:03.940,26,1,1,1,0,1,0,1,0,1,17.473000,16.221000,8.028991
2016.12.18,02:59:04.440,27,1,1,1,0,1,0,1,0,1,17.388000,16.143000,7.072992
2016.12.18,02:59:04.940,28,1,1,1,1,0,1,0,1,0,17.349000,16.129000,7.280374
2016.12.18,02:59:05.438,29,1,1,1,1,0,1,0,1,0,17.380000,16.154000,7.403669
2016.12.18,02:59:05.940,30,1,1,1,1,0,1,0,1,0,17.330000,16.142000,8.146283
2016.12.18,02:59:06.440,31,1,1,1,1,0,1,0,1,0,17.356000,16.158000,8.392375
2016.12.18,02:59:06.941,32,1,1,1,1,0,1,0,1,0,17.286000,16.069000,7.041687
2016.12.18,02:59:07.439,33,1,1,1,1,0,1,0,1,0,17.332000,16.094000,7.218176
2016.12.18,02:59:07.940,34,1,1,1,1,0,1,0,1,0,17.342000,16.141000,8.698289
2016.12.18,02:59:08.439,35,1,1,1,1,0,1,0,1,0,17.420000,16.171000,8.761869
2016.12.18,02:59:08.940,36,1,1,1,0,1,0,1,0,1,17.379000,16.180000,7.012364
2016.12.18,02:59:09.443,37,1,1,1,0,1,0,1,0,1,17.390000,16.188000,8.801948
2016.12.18,02:59:09.943,38,1,1,1,0,1,0,1,0,1,17.391000,16.224000,8.197734
2016.12.18,02:59:10.443,39,1,1,1,0,1,0,1,0,1,17.366000,16.156000,7.413716
2016.12.18,02:59:10.942,40,1,1,1,0,1,0,1,0,1,17.412000,16.189000,7.862764
2016.12.18,02:59:11.442,41,1,1,1,0,1,0,1,0,1,17.395000,16.243000,8.802453
2016.12.18,02:59:11.944,42,1,1,1,0,1,0,1,0,1,17.415000,16.227000,8.210516
2016.12.18,02:59:12.442,43,1,1,1,0,1,0,1,0,1,16.525000,15.236000,7.801241
2016.12.18,02:59:12.942,44,0,0,0,0,0,0,0,0,0,17.544000,16.273000,8.450462
2016.12.18,02:59:13.439,45,0,0,0,0,0,0,0,0,0,17.515000,16.299000,8.300008
2016.12.18,02:59:13.940,46,0,0,0,0,0,0,0,0,0,17.592000,16.303000,7.446983
2016.12.18,02:59:14.439,47,0,0,0,0,0,0,0,0,0,17.515000,16.299000,8.767112
2016.12.18,02:59:14.944,48,0,0,0,0,0,0,0,0,0,17.543000,16.467000,7.103416
2016.12.18,02:59:15.443,49,0,0,0,0,0,0,0,0,0,17.457000,16.271000,7.142203
2016.12.18,02:59:15.942,50,0,0,0,0,0,0,0,0,0,17.541000,16.247000,7.519559
