 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,03:16:36.987,1,1,1,1,0,0,0,0,0,0,19.032000,18.325000,8.548820
2016.12.18,03:16:37.491,2,1,1,1,0,0,0,0,0,0,19.146000,18.217000,7.140215
2016.12.18,03:16:37.985,3,1,1,1,1,0,1,0,1,0,19.052000,18.295000,8.955096
2016.12.18,03:16:38.485,4,1,1,1,1,0,1,0,1,0,19.034000,18.283000,8.211568
2016.12.18,03:16:38.986,5,1,1,1,1,0,1,0,1,0,19.013000,18.243000,7.703403
2016.12.18,03:16:39.488,6,1,1,1,1,0,1,0,1,0,19.030000,18.270000,8.897216
2016.12.18,03:16:39.994,7,1,1,1,1,0,1,0,1,0,19.019000,18.229000,7.387533
2016.12.18,03:16:40.491,8,1,1,1,1,0,1,0,1,0,18.985000,18.137000,7.204723
2016.12.18,03:16:40.992,9,1,1,1,1,0,1,0,1,0,19.014000,18.186000,8.134994
2016.12.18,03:16:41.490,10,1,1,1,1,0,1,0,1,0,19.011000,18.294000,8.137452
2016.12.18,03:16:41.987,11,1,1,1,0,1,0,1,0,1,19.058000,18.280000,7.393442
2016.12.18,03:16:42.487,12,1,1,1,0,1,0,1,0,1,19.053000,18.288000,8.409229
2016.12.18,03:16:42.987,13,1,1,1,0,1,0,1,0,1,19.085000,18.305000,7.692211
2016.12.18,03:16:43.487,14,1,1,1,0,1,0,1,0,1,19.100000,18.298000,7.278029
2016.12.18,03:16:43.988,15,1,1,1,0,1,0,1,0,1,19.109000,18.307000,8.661737
2016.12.18,03:16:44.491,16,1,1,1,0,1,0,1,0,1,19.088000,18.287000,8.763956
2016.12.18,03:16:44.990,17,1,1,1,0,1,0,1,0,1,19.115000,18.285000,7.091137
2016.12.18,03:16:45.498,18,1,1,1,0,1,0,1,0,1,19.077000,18.365000,7.206478
2016.12.18,03:16:45.982,19,0,0,0,0,0,0,0,0,0,19.142000,18.378000,8.208976
2016.12.18,03:16:46.482,20,0,0,0,0,0,0,0,0,0,19.204000,18.358000,7.660573
2016.12.18,03:16:46.979,21,0,0,0,0,0,0,0,0,0,19.250000,18.392000,7.020473
2016.12.18,03:16:47.479,22,0,0,0,0,0,0,0,0,0,19.217000,18.439000,7.687808
2016.12.18,03:16:47.990,23,0,0,0,0,0,0,0,0,0,19.040000,18.410000,7.462078
2016.12.18,03:16:48.480,24,0,0,0,0,0,0,0,0,0,19.268000,18.433000,8.409974
2016.12.18,03:16:48.980,25,0,0,0,0,0,0,0,0,0,19.233000,18.341000,7.181222
2016.12.18,03:16:49.480,26,0,0,0,0,0,0,0,0,0,19.169000,18.439000,8.518967
2016.12.18,03:16:49.981,27,0,0,0,0,0,0,0,0,0,19.247000,18.354000,8.039313
2016.12.18,03:16:50.480,28,0,0,0,0,0,0,0,0,0,19.199000,18.423000,7.921922
2016.12.18,03:16:50.981,29,0,0,0,0,0,0,0,0,0,19.256000,18.421000,8.047813
2016.12.18,03:16:51.480,30,0,0,0,0,0,0,0,0,0,19.247000,18.369000,8.874190
2016.12.18,03:16:51.981,31,0,0,0,0,0,0,0,0,0,19.296000,18.407000,8.488947
2016.12.18,03:16:52.483,32,0,0,0,0,0,0,0,0,0,19.256000,18.385000,7.082865
2016.12.18,03:16:52.983,33,0,0,0,0,0,0,0,0,0,19.206000,18.427000,8.268848
2016.12.18,03:16:53.481,34,0,0,0,0,0,0,0,0,0,19.301000,18.362000,8.901280
2016.12.18,03:16:53.982,35,0,0,0,0,0,0,0,0,0,19.261000,18.385000,7.327085
2016.12.18,03:16:54.483,36,0,0,0,0,0,0,0,0,0,19.260000,18.334000,8.582177
2016.12.18,03:16:54.984,37,0,0,0,0,0,0,0,0,0,19.211000,18.396000,7.498305
2016.12.18,03:16:55.483,38,0,0,0,0,0,0,0,0,0,19.261000,18.369000,8.966731
2016.12.18,03:16:55.983,39,0,0,0,0,0,0,0,0,0,19.222000,18.387000,7.100160
2016.12.18,03:16:56.483,40,0,0,0,0,0,0,0,0,0,19.236000,18.373000,7.348125
